"id","name","shape","carat","color","clarity","cut","lab","certificate_number","original_price","size","growth_type","depth ","table ","video_url"," certificate_link","image_link"
"930","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.1","E","VS1","VERY GOOD","NON-CERT","NON-CERT","19.44","2.33*4.08*1.52","HPHT","38.95","73","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925621705&zoomslide=1&z=1925621705&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"931","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.1","E","VS1","VERY GOOD","NON-CERT","NON-CERT","19.44","2.32*4.08*1.54","HPHT","37.73","75","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925552051&zoomslide=1&z=1925552051&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"932","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.1","E","VS1","VERY GOOD","NON-CERT","NON-CERT","19.44","2.31*4.08*1.51","CVD","37.8","75","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925600440&zoomslide=1&z=1925600440&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"933","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.1","E","VS1","VERY GOOD","NON-CERT","NON-CERT","19.44","2.35*4.09*1.54","HPHT","36.25","73","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925621895&zoomslide=1&z=1925621895&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"934","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.1","E","VS2","EXCELLENT","NON-CERT","NON-CERT","19.44","2.32*4.09*1.60","HPHT","38.98","74","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925370414&zoomslide=1&z=1925370414&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"935","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.1","E","VS2","VERY GOOD","NON-CERT","NON-CERT","19.44","2.34*4.07*1.55","HPHT","38.97","72","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920400285&zoomslide=1&z=1920400285&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"936","TAPERED BAGUETTE Shape Antique Cut Diamond","TAPERED BAGUETTE","0.14","E","VS1","EXCELLENT","NON-CERT","NON-CERT","27.22","2.35*4.73*1.56","HPHT","63.15","66","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925260141&zoomslide=1&z=1925260141&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"937","TAPERED BAGUETTE Shape Antique Cut Diamond","TAPERED BAGUETTE","0.14","E","VS1","EXCELLENT","NON-CERT","NON-CERT","27.22","2.24*5.03*1.48","HPHT","61.99","62","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920380020&zoomslide=1&z=1920380020&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"938","CADILLAC Shape Antique Cut Diamond","CADILLAC","0.11","E","VS1","EXCELLENT","NON-CERT","NON-CERT","21.38","2.53*4.06*1.30","HPHT","63.57","65","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925620847&zoomslide=1&z=1925620847&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"939","CADILLAC Shape Antique Cut Diamond","CADILLAC","0.11","E","VS1","VERY GOOD","NON-CERT","NON-CERT","21.38","2.47*4.00*1.26","HPHT","63.57","69","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925621390&zoomslide=1&z=1925621390&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"940","CADILLAC Shape Antique Cut Diamond","CADILLAC","0.11","E","VS1","VERY GOOD","NON-CERT","NON-CERT","21.38","2.51*4.00*1.25","HPHT","59.17","71","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925621406&zoomslide=1&z=1925621406&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"941","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.13","F","VS1","VERY GOOD","NON-CERT","NON-CERT","25.27","2.13*4.21*1.36","HPHT","55.2","81","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926630052&zoomslide=1&z=1926630052&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"942","SHIELD Shape Antique Cut Diamond","SHIELD","0.28","D","VVS2","VERY GOOD","NON-CERT","NON-CERT","93.54","4.09*5.01*2.09","HPHT","49.25","75","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925760654&zoomslide=1&z=1925760654&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"943","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.13","E","VS1","VERY GOOD","NON-CERT","NON-CERT","25.92","2.10*4.18*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740144&zoomslide=1&z=1926740144&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"944","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.13","E","VS1","VERY GOOD","NON-CERT","NON-CERT","25.92","2.08*4.21*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740143&zoomslide=1&z=1926740143&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"945","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.13","E","VS1","VERY GOOD","NON-CERT","NON-CERT","25.92","2.10*4.20*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740145&zoomslide=1&z=1926740145&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"946","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.12","E","VS1","VERY GOOD","NON-CERT","NON-CERT","23.93","2.06*4.20*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740141&zoomslide=1&z=1926740141&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"947","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.12","E","VS1","VERY GOOD","NON-CERT","NON-CERT","23.93","2.09*4.14*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740140&zoomslide=1&z=1926740140&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"948","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.12","E","VS1","VERY GOOD","NON-CERT","NON-CERT","23.93","2.07*4.14*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740139&zoomslide=1&z=1926740139&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"949","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.12","E","VS1","VERY GOOD","NON-CERT","NON-CERT","23.93","2.12*4.18*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740160&zoomslide=1&z=1926740160&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"950","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.11","E","VS1","VERY GOOD","NON-CERT","NON-CERT","21.93","2.10*4.20*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740142&zoomslide=1&z=1926740142&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"951","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.11","E","VS1","VERY GOOD","NON-CERT","NON-CERT","21.93","2.12*4.23*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926740138&zoomslide=1&z=1926740138&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"952","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.09","E","VS1","VERY GOOD","NON-CERT","NON-CERT","17.95","1.99*3.53*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926750133&zoomslide=1&z=1926750133&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"953","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.09","E","VS1","VERY GOOD","NON-CERT","NON-CERT","17.95","2.00*3.50*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926750134&zoomslide=1&z=1926750134&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"954","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.09","E","VS1","VERY GOOD","NON-CERT","NON-CERT","17.95","1.84*3.71*0.00","CVD","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920790009&zoomslide=1&z=1920790009&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"955","CADILLAC Shape Antique Cut Diamond","CADILLAC","0.13","H","VS1","VERY GOOD","NON-CERT","NON-CERT","23.76","2.53*4.01*1.50","HPHT","59.17","71","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924910375&zoomslide=1&z=1924910375&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
