"id","name","shape","original_price","mrp","carat","cut","color","clarity","images","size","l_w_ratio","table ","sku","lab","certificate_number","video_url","certificate_link","growth_type"
"6430","Round Diamond","ROUND","1134.68","1634.68","3.41","EXCELLENT","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.51-9.53*6.01","63.1","58","ROU25","IGI","621405820","https://mglgd.com/Media/viewer3/Vision360.html?d=L17678","https://www.igi.org/reports/verify-your-report?r=621405820","CVD"
"6431","Round Diamond","ROUND","1064.8","1564.8","3.2","IDEAL","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.40-9.49*5.80","61.4","60","ROU32","IGI","620491675","https://mglgd.com/Media/viewer3/Vision360.html?d=L15255","https://www.igi.org/reports/verify-your-report?r=620491675","CVD"
"6432","Round Diamond","ROUND","1234.93","1734.93","3.24","IDEAL","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.48-9.51*5.76","60.6","58","ROU21","IGI","619428996","https://mglgd.com/Media/viewer3/Vision360.html?d=L14468","https://www.igi.org/reports/verify-your-report?r=619428996","CVD"
"6433","Round Diamond","ROUND","1123.85","1623.85","3.44","IDEAL","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.63-9.70*5.97","61.6","59","ROU63","IGI","614333082","https://mglgd.com/Media/viewer3/Vision360.html?d=Y03334","https://www.igi.org/reports/verify-your-report?r=614333082","CVD"
"6434","Round Diamond","ROUND","1387.87","1887.87","3.1","IDEAL","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.33-9.38*5.73","61.2","57","ROU10","IGI","631466772","https://mglgd.com/Media/viewer3/Vision360.html?d=L29876","https://www.igi.org/reports/verify-your-report?r=631466772","CVD"
"6435","Round Diamond","ROUND","1361.01","1861.01","3.04","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.37-9.41*5.60","59.6","60","ROU50","IGI","630450342","https://mglgd.com/Media/viewer3/Vision360.html?d=L28538","https://www.igi.org/reports/verify-your-report?r=630450342","CVD"
"6436","Round Diamond","ROUND","1352.05","1852.05","3.02","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.29-9.33*5.55","59.7","62","ROU80","IGI","632425275","https://mglgd.com/Media/viewer3/Vision360.html?d=L30466","https://www.igi.org/reports/verify-your-report?r=632425275","CVD"
"6437","Round Diamond","ROUND","1347.58","1847.58","3.01","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.31-9.35*5.54","59.4","62","ROU78","IGI","631469693","https://mglgd.com/Media/viewer3/Vision360.html?d=L28913","https://www.igi.org/reports/verify-your-report?r=631469693","CVD"
"6438","Round Diamond","ROUND","1343.1","1843.1","3","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.12-9.20*5.68","61.9","61","ROU79","IGI","629418894","https://mglgd.com/Media/viewer3/Vision360.html?d=L28243","https://www.igi.org/reports/verify-your-report?r=629418894","CVD"
"6439","Round Diamond","ROUND","1343.1","1843.1","3","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.14-9.20*5.68","61.9","61","ROU35","IGI","629418898","https://mglgd.com/Media/viewer3/Vision360.html?d=L28287","https://www.igi.org/reports/verify-your-report?r=629418898","CVD"
