"id","name","shape","original_price","mrp","carat","cut","color","clarity","images","size","l_w_ratio","table ","sku","lab","certificate_number","video_url","certificate_link","growth_type"
"1247","Round Diamond","ROUND","3022.13","3522.13","6.01","EXCELLENT","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.51-11.64*7.16","62","61","ROU92","IGI","632469268","https://mglgd.com/Media/viewer3/Vision360.html?d=L29899","https://www.igi.org/reports/verify-your-report?r=632469268","CVD"
"1248","Round Diamond","ROUND","3017.1","3517.1","6","EXCELLENT","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.65-11.71*7.00","59.9","61","ROU18","IGI","631443433","https://mglgd.com/Media/viewer3/Vision360.html?d=L29711","https://www.igi.org/reports/verify-your-report?r=631443433","CVD"
"1249","Round Diamond","ROUND","2865.18","3365.18","6.57","IDEAL","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.87-11.93*7.44","62.4","57","ROU76","IGI","621423235","https://mglgd.com/Media/viewer3/Vision360.html?d=L18845","https://www.igi.org/reports/verify-your-report?r=621423235","CVD"
"1250","Round Diamond","ROUND","2708.18","3208.18","6.21","IDEAL","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.86-11.94*7.19","60.4","59","ROU14","IGI","621491444","https://mglgd.com/Media/viewer3/Vision360.html?d=L18255","https://www.igi.org/reports/verify-your-report?r=621491444","CVD"
"1251","Round Diamond","ROUND","2673.29","3173.29","6.13","IDEAL","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.89-11.95*7.08","59.4","59","ROU38","IGI","622488713","https://mglgd.com/Media/viewer3/Vision360.html?d=L20394","https://www.igi.org/reports/verify-your-report?r=622488713","CVD"
"1252","Round Diamond","ROUND","2655.85","3155.85","6.09","IDEAL","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.62-11.67*7.19","61.8","58","ROU24","IGI","622488679","https://mglgd.com/Media/viewer3/Vision360.html?d=L19429","https://www.igi.org/reports/verify-your-report?r=622488679","CVD"
"1253","Round Diamond","ROUND","2647.13","3147.13","6.07","IDEAL","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.62-11.70*7.26","62.3","56","ROU15","IGI","622488678","https://mglgd.com/Media/viewer3/Vision360.html?d=L20115","https://www.igi.org/reports/verify-your-report?r=622488678","CVD"
"1254","Round Diamond","ROUND","2625.32","3125.32","6.02","IDEAL","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.60-11.63*7.19","61.8","56","ROU14","IGI","623423390","https://mglgd.com/Media/viewer3/Vision360.html?d=L20777","https://www.igi.org/reports/verify-your-report?r=623423390","CVD"
"1255","Round Diamond","ROUND","2242.8","2742.8","6","EXCELLENT","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.53-11.63*7.20","62.3","55","ROU62","IGI","627416541","https://mglgd.com/Media/viewer3/Vision360.html?d=L25611","https://www.igi.org/reports/verify-your-report?r=627416541","CVD"
"1256","Round Diamond","ROUND","2795.76","3295.76","5.66","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.58-11.62*6.85","59.1","61","ROU87","IGI","627401425","https://mglgd.com/Media/viewer3/Vision360.html?d=L25351","https://www.igi.org/reports/verify-your-report?r=627401425","CVD"
"1257","Round Diamond","ROUND","2721.66","3221.66","5.51","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.35-11.38*6.96","61.3","59","ROU78","IGI","627442566","https://mglgd.com/Media/viewer3/Vision360.html?d=L24392","https://www.igi.org/reports/verify-your-report?r=627442566","CVD"
"1258","Round Diamond","ROUND","2524.08","3024.08","5.11","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.10-11.17*6.72","60.4","60","ROU49","IGI","627415898","https://mglgd.com/Media/viewer3/Vision360.html?d=L24984","https://www.igi.org/reports/verify-your-report?r=627415898","CVD"
"1259","Round Diamond","ROUND","2504.33","3004.33","5.07","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.09-11.15*6.68","60","59","ROU45","IGI","627401440","https://mglgd.com/Media/viewer3/Vision360.html?d=L25471","https://www.igi.org/reports/verify-your-report?r=627401440","CVD"
"1260","Round Diamond","ROUND","2504.33","3004.33","5.07","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.97-11.03*6.74","61.2","59","ROU32","IGI","627416556","https://mglgd.com/Media/viewer3/Vision360.html?d=L25555","https://www.igi.org/reports/verify-your-report?r=627416556","CVD"
"1261","Round Diamond","ROUND","2489.51","2989.51","5.04","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.03-11.09*6.59","59.5","61","ROU39","IGI","627442534","https://mglgd.com/Media/viewer3/Vision360.html?d=L24243","https://www.igi.org/reports/verify-your-report?r=627442534","CVD"
"1262","Round Diamond","ROUND","2489.51","2989.51","5.04","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.99-11.07*6.70","60.7","59","ROU21","IGI","627401427","https://mglgd.com/Media/viewer3/Vision360.html?d=L25353","https://www.igi.org/reports/verify-your-report?r=627401427","CVD"
"1263","Round Diamond","ROUND","2484.57","2984.57","5.03","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.04-11.10*6.64","60","60","ROU40","IGI","627442580","https://mglgd.com/Media/viewer3/Vision360.html?d=L24656","https://www.igi.org/reports/verify-your-report?r=627442580","CVD"
"1264","Round Diamond","ROUND","2484.57","2984.57","5.03","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.94-11.04*6.81","62.2","56","ROU96","IGI","627401411","https://mglgd.com/Media/viewer3/Vision360.html?d=L25436","https://www.igi.org/reports/verify-your-report?r=627401411","CVD"
"1265","Round Diamond","ROUND","2479.63","2979.63","5.02","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.00-11.07*6.57","59.5","62","ROU16","IGI","627401413","https://mglgd.com/Media/viewer3/Vision360.html?d=L25438","https://www.igi.org/reports/verify-your-report?r=627401413","CVD"
"1266","Round Diamond","ROUND","2474.69","2974.69","5.01","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.06-11.13*6.59","59.4","61","ROU74","IGI","627401428","https://mglgd.com/Media/viewer3/Vision360.html?d=L25354","https://www.igi.org/reports/verify-your-report?r=627401428","CVD"
"1267","Round Diamond","ROUND","2474.69","2974.69","5.01","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.87-10.91*6.70","61.5","62","ROU91","IGI","627401415","https://mglgd.com/Media/viewer3/Vision360.html?d=L25440","https://www.igi.org/reports/verify-your-report?r=627401415","CVD"
"1268","Round Diamond","ROUND","2469.75","2969.75","5","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.80-10.87*6.77","62.5","59","ROU84","IGI","627415906","https://mglgd.com/Media/viewer3/Vision360.html?d=L24992","https://www.igi.org/reports/verify-your-report?r=627415906","CVD"
"1269","Round Diamond","ROUND","2469.75","2969.75","5","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.08-11.17*6.63","59.6","60","ROU60","IGI","627416533","https://mglgd.com/Media/viewer3/Vision360.html?d=L25562","https://www.igi.org/reports/verify-your-report?r=627416533","CVD"
"1270","Round Diamond","ROUND","2469.75","2969.75","5","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.14-11.19*6.46","57.9","61","ROU48","IGI","628488143","https://mglgd.com/Media/viewer3/Vision360.html?d=L26666","https://www.igi.org/reports/verify-your-report?r=628488143","CVD"
"1271","Round Diamond","ROUND","2469.75","2969.75","5","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.15-11.19*6.47","57.9","62","ROU94","IGI","628408656","https://mglgd.com/Media/viewer3/Vision360.html?d=L27247","https://www.igi.org/reports/verify-your-report?r=628408656","CVD"
"1272","Round Diamond","ROUND","2391.34","2891.34","5.54","EXCELLENT","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.25-11.30*6.91","61.3","60","ROU50","IGI","633412747","https://mglgd.com/Media/viewer3/Vision360.html?d=L31369","https://www.igi.org/reports/verify-your-report?r=633412747","CVD"
"1273","Round Diamond","ROUND","2197.1","2697.1","5.09","IDEAL","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.02-11.07*6.70","60.6","59","ROU37","IGI","633412746","https://mglgd.com/Media/viewer3/Vision360.html?d=L31406","https://www.igi.org/reports/verify-your-report?r=633412746","CVD"
"1274","Round Diamond","ROUND","2188.47","2688.47","5.07","IDEAL","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.04-11.11*6.68","60.3","59","ROU31","IGI","634417116","https://mglgd.com/Media/viewer3/Vision360.html?d=L32346","https://www.igi.org/reports/verify-your-report?r=634417116","CVD"
"1275","Round Diamond","ROUND","2179.83","2679.83","5.05","EXCELLENT","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.86-10.91*6.81","62.6","61","ROU91","IGI","633476780","https://mglgd.com/Media/viewer3/Vision360.html?d=L30997","https://www.igi.org/reports/verify-your-report?r=633476780","CVD"
"1276","Round Diamond","ROUND","2074.59","2574.59","5.55","EXCELLENT","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.45-11.47*6.82","59.5","62","ROU62","IGI","623423389","https://mglgd.com/Media/viewer3/Vision360.html?d=L20778","https://www.igi.org/reports/verify-your-report?r=623423389","CVD"
"1277","Round Diamond","ROUND","2067.11","2567.11","5.53","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.21-11.29*7.00","62.1","58","ROU83","IGI","622488727","https://mglgd.com/Media/viewer3/Vision360.html?d=L18587","https://www.igi.org/reports/verify-your-report?r=622488727","CVD"
"1278","Round Diamond","ROUND","2055.9","2555.9","5.5","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.18-11.24*7.00","62.4","59","ROU47","IGI","613355954","https://mglgd.com/Media/viewer3/Vision360.html?d=L10465","https://www.igi.org/reports/verify-your-report?r=613355954","CVD"
"1279","Round Diamond","ROUND","1958.71","2458.71","5.24","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.04-11.11*6.89","62.2","59","ROU88","IGI","623423393","https://mglgd.com/Media/viewer3/Vision360.html?d=L20781","https://www.igi.org/reports/verify-your-report?r=623423393","CVD"
"1280","Round Diamond","ROUND","1917.59","2417.59","5.13","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.96-11.01*6.84","62.2","57","ROU20","IGI","623418155","https://mglgd.com/Media/viewer3/Vision360.html?d=L20632","https://www.igi.org/reports/verify-your-report?r=623418155","CVD"
"1281","Round Diamond","ROUND","1910.12","2410.12","5.11","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.97-11.02*6.85","62.3","58","ROU11","IGI","621403174","https://mglgd.com/Media/viewer3/Vision360.html?d=L18008","https://www.igi.org/reports/verify-your-report?r=621403174","CVD"
"1282","Round Diamond","ROUND","1906.38","2406.38","5.1","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.95-11.01*6.81","62.1","57","ROU93","IGI","617440309","https://mglgd.com/Media/viewer3/Vision360.html?d=L12899","https://www.igi.org/reports/verify-your-report?r=617440309","CVD"
"1283","Round Diamond","ROUND","1906.38","2406.38","5.1","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.98-11.05*6.80","61.8","57","ROU61","IGI","620455966","https://mglgd.com/Media/viewer3/Vision360.html?d=L15998","https://www.igi.org/reports/verify-your-report?r=620455966","CVD"
"1284","Round Diamond","ROUND","1891.43","2391.43","5.06","EXCELLENT","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.98-11.04*6.74","61.1","61","ROU15","IGI","621491451","https://mglgd.com/Media/viewer3/Vision360.html?d=L18407","https://www.igi.org/reports/verify-your-report?r=621491451","CVD"
"1285","Round Diamond","ROUND","1891.43","2391.43","5.06","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.09-11.13*6.72","60.5","59","ROU84","IGI","622488738","https://mglgd.com/Media/viewer3/Vision360.html?d=L18642","https://www.igi.org/reports/verify-your-report?r=622488738","CVD"
"1286","Round Diamond","ROUND","1891.43","2391.43","5.06","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.94-10.97*6.77","61.9","59","ROU34","IGI","622488736","https://mglgd.com/Media/viewer3/Vision360.html?d=L20259","https://www.igi.org/reports/verify-your-report?r=622488736","CVD"
"1287","Round Diamond","ROUND","1891.43","2391.43","5.06","EXCELLENT","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.87-10.93*6.85","62.9","57","ROU71","IGI","623418148","https://mglgd.com/Media/viewer3/Vision360.html?d=L20557","https://www.igi.org/reports/verify-your-report?r=623418148","CVD"
"1288","Round Diamond","ROUND","1876.48","2376.48","5.02","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.06-11.09*6.74","60.9","58","ROU68","IGI","621476778","https://mglgd.com/Media/viewer3/Vision360.html?d=L18120","https://www.igi.org/reports/verify-your-report?r=621476778","CVD"
"1289","Round Diamond","ROUND","1876.48","2376.48","5.02","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.02-11.06*6.61","59.9","60","ROU60","IGI","622488703","https://mglgd.com/Media/viewer3/Vision360.html?d=L18597","https://www.igi.org/reports/verify-your-report?r=622488703","CVD"
"1290","Round Diamond","ROUND","1872.74","2372.74","5.01","EXCELLENT","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.02-11.07*6.69","60.6","56","ROU62","IGI","619467282","https://mglgd.com/Media/viewer3/Vision360.html?d=L14114","https://www.igi.org/reports/verify-your-report?r=619467282","CVD"
"1291","Round Diamond","ROUND","1872.74","2372.74","5.01","EXCELLENT","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.12-11.15*6.69","60.1","56","ROU70","IGI","622488668","https://mglgd.com/Media/viewer3/Vision360.html?d=L19804","https://www.igi.org/reports/verify-your-report?r=622488668","CVD"
"1292","Round Diamond","ROUND","1872.74","2372.74","5.01","IDEAL","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.89-10.93*6.80","62.3","58","ROU27","IGI","623423392","https://mglgd.com/Media/viewer3/Vision360.html?d=L20782","https://www.igi.org/reports/verify-your-report?r=623423392","CVD"
"1293","Round Diamond","ROUND","1869","2369","5","EXCELLENT","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.96-11.03*6.60","60","61","ROU16","IGI","623439599","https://mglgd.com/Media/viewer3/Vision360.html?d=L21177","https://www.igi.org/reports/verify-your-report?r=623439599","CVD"
"1294","Princess Diamond","PRINCESS","2310.08","2810.08","5.04","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/princess.png","9.59-9.33*6.49","69.6","72","PRI54","IGI","634447698","https://mglgd.com/Media/viewer3/Vision360.html?d=L32416","https://www.igi.org/reports/verify-your-report?r=634447698","CVD"
"1295","Emerald Diamond","EMERALD","6828.79","7328.79","11.04","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","14.37x10.32x7.14","69.2","63","EME68","IGI","577393416","https://agensolution.co.in/newproductdetail.php?rndcode=BD-35-1104","https://www.igi.org/reports/verify-your-report?r=577393416","CVD"
"1296","Emerald Diamond","EMERALD","6253.54","6753.54","10.11","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","15.21x10.47x6.47","61.8","65","EME33","IGI","597354063","","https://www.igi.org/reports/verify-your-report?r=597354063","CVD"
"1297","Emerald Diamond","EMERALD","6204.06","6704.06","10.03","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","13.79x9.84x6.86","69.7","68","EME57","IGI","627410432","https://dnalinks.in/DD-21/video.mp4","https://www.igi.org/reports/verify-your-report?r=627410432","CVD"
"1298","Emerald Diamond","EMERALD","4202.36","4702.36","11.11","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","15.95-10.27*6.74","65.6","65","EME66","IGI","638465864","https://videop.co.in/vision360.html?d=28204","https://www.igi.org/reports/verify-your-report?r=638465864","CVD"
"1299","Oval Cut Diamond","OVAL","1974.29","2474.29","6.01","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","15.11 - 10.25 * 6.32","61.7","61","OVA11","IGI","618499843","https://v360.in/V360Images.aspx?cid=vd&d=LLP10-1","https://www.igi.org/reports/verify-your-report?r=618499843","CVD"
"1300","Emerald Diamond","EMERALD","1737.77","2237.77","5.29","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.88 - 8.41 * 5.4","64.2","65","EME70","IGI","601322677","https://v360.in/V360Images.aspx?cid=vd&d=601322677","https://www.igi.org/reports/verify-your-report?r=601322677","CVD"
"1301","Emerald Diamond","EMERALD","1658.93","2158.93","5.05","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.56 - 8.3 * 5.48","66","65","EME25","IGI","653412376","","https://www.igi.org/reports/verify-your-report?r=653412376","CVD"
"1302","Emerald Diamond","EMERALD","1655.64","2155.64","5.04","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.38 - 8.37 * 5.31","63.4","59","EME74","IGI","653412374","","https://www.igi.org/reports/verify-your-report?r=653412374","CVD"
"1303","Emerald Diamond","EMERALD","1655.64","2155.64","5.04","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.73 - 8.24 * 5.35","64.9","65","EME47","IGI","653412372","","https://www.igi.org/reports/verify-your-report?r=653412372","CVD"
"1304","Oval Cut Diamond","OVAL","1655.64","2155.64","5.04","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.03 - 9.81 * 5.92","60.3","61","OVA27","IGI","621445658","https://v360.in/V360Images.aspx?cid=vd&d=LLP10-141","https://www.igi.org/reports/verify-your-report?r=621445658","CVD"
"1305","Emerald Diamond","EMERALD","1649.07","2149.07","5.02","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.37 - 8.39 * 5.54","66","70","EME20","IGI","653412357","","https://www.igi.org/reports/verify-your-report?r=653412357","CVD"
"1306","Emerald Diamond","EMERALD","1649.07","2149.07","5.02","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.55 - 8.31 * 5.48","65.9","66","EME82","IGI","653412352","","https://www.igi.org/reports/verify-your-report?r=653412352","CVD"
"1307","Oval Cut Diamond","OVAL","1649.07","2149.07","5.02","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.96 - 9.8 * 5.84","59.6","61","OVA10","IGI","653412351","","https://www.igi.org/reports/verify-your-report?r=653412351","CVD"
"1308","Emerald Diamond","EMERALD","1645.79","2145.79","5.01","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.61 - 8.47 * 5.39","63.6","65","EME27","IGI","653412350","","https://www.igi.org/reports/verify-your-report?r=653412350","CVD"
"1309","Oval Cut Diamond","OVAL","1642.5","2142.5","5","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.25 - 9.67 * 5.78","59.8","63","OVA67","IGI","619465385","https://v360.in/V360Images.aspx?cid=vd&d=CVD456-78A","https://www.igi.org/reports/verify-your-report?r=619465385","CVD"
"1310","Oval Cut Diamond","OVAL","2756.88","3256.88","5.47","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.31 - 9.71 * 6.19","63.7","58","OVA24","IGI","627400098","https://workshop.360view.link/360viewer/360view.html?d=2203248-q50-43","https://www.igi.org/reports/verify-your-report?r=627400098","CVD"
"1311","Oval Cut Diamond","OVAL","2451.92","2951.92","5.29","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.96 - 9.46 * 6.09","64.4","62","OVA50","IGI","627413244","https://workshop.360view.link/360viewer/360view.html?d=2303242-q50-98-3","https://www.igi.org/reports/verify-your-report?r=627413244","CVD"
"1312","Oval Cut Diamond","OVAL","2410.2","2910.2","5.2","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.39 - 9.71 * 5.85","60.2","60","OVA53","IGI","626466652","https://workshop.360view.link/360viewer/360view.html?d=1203241-Q50-15-1","https://www.igi.org/reports/verify-your-report?r=626466652","CVD"
"1313","Oval Cut Diamond","OVAL","2317.5","2817.5","5","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.83 - 9.23 * 5.91","64","58","OVA97","IGI","620431183","https://workshop.360view.link/360viewer/360view.html?d=0202244-Q32-11","https://www.igi.org/reports/verify-your-report?r=620431183","CVD"
"1314","Oval Cut Diamond","OVAL","2174.85","2674.85","5.37","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.42 - 9.69 * 6.05","62.4","61","OVA94","IGI","626417678","https://workshop.360view.link/360viewer/360view.html?d=1503244-q50-109","https://www.igi.org/reports/verify-your-report?r=626417678","CVD"
"1315","Oval Cut Diamond","OVAL","2130.3","2630.3","5.26","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.71 - 9.75 * 5.78","59.3","61","OVA71","IGI","625433782","https://workshop.360view.link/360viewer/360view.html?d=0803247-q-53-24a","https://www.igi.org/reports/verify-your-report?r=625433782","CVD"
"1316","Oval Cut Diamond","OVAL","2101.95","2601.95","5.19","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.68 - 9.82 * 5.81","59.2","61","OVA55","IGI","616430454","","https://www.igi.org/reports/verify-your-report?r=616430454","CVD"
"1317","Oval Cut Diamond","OVAL","2049.3","2549.3","5.06","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.41 - 9.49 * 5.82","61.3","62","OVA78","IGI","626455800","https://workshop.360view.link/360viewer/360view.html?d=1103240-Q53-16","https://www.igi.org/reports/verify-your-report?r=626455800","CVD"
"1318","Pear Diamond","PEAR","2430","2930","6","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.78 - 10.25 * 6.23","60.8","64","PEA64","IGI","627422010","https://workshop.360view.link/360viewer/360view.html?d=2603244-q50-6-3","https://www.igi.org/reports/verify-your-report?r=627422010","CVD"
"1319","Pear Diamond","PEAR","2488.32","2988.32","5.76","","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","16.21 - 10.13 * 5.98","59","64","PEA42","IGI","628495732","https://workshop.360view.link/360viewer/360view.html?d=3003244-Q-57-61-1","https://www.igi.org/reports/verify-your-report?r=628495732","CVD"
"1320","Pear Diamond","PEAR","2388.96","2888.96","5.53","","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.26 - 9.82 * 6.14","62.5","61","PEA70","IGI","626438675","https://workshop.360view.link/360viewer/360view.html?d=1803245-q50-139-3","https://www.igi.org/reports/verify-your-report?r=626438675","CVD"
"1321","Pear Diamond","PEAR","2619.27","3119.27","5.34","","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.91 - 9.76 * 5.86","60","63","PEA36","IGI","614325765","https://workshop.360view.link/360viewer/360view.html?d=2512231-t1-41","https://www.igi.org/reports/verify-your-report?r=614325765","CVD"
"1322","Pear Diamond","PEAR","2506.46","3006.46","5.11","","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.31 - 9.56 * 5.92","61.9","64","PEA98","IGI","618453203","https://workshop.360view.link/360viewer/360view.html?d=1701244-l-194","https://www.igi.org/reports/verify-your-report?r=618453203","CVD"
"1323","Pear Diamond","PEAR","2382.39","2882.39","5.14","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.45 - 9.75 * 5.82","59.7","61","PEA17","IGI","616430742","https://workshop.360view.link/360viewer/360view.html?d=1901241-l-146","https://www.igi.org/reports/verify-your-report?r=616430742","CVD"
"1324","Pear Diamond","PEAR","2134.35","2634.35","5.27","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.66 - 9.35 * 6.01","64.3","60","PEA89","IGI","627413246","https://workshop.360view.link/360viewer/360view.html?d=2303247-q50-2-1","https://www.igi.org/reports/verify-your-report?r=627413246","CVD"
"1325","Pear Diamond","PEAR","2093.85","2593.85","5.17","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","14.79 - 9.57 * 6.14","64.2","64","PEA51","IGI","61430458","https://workshop.360view.link/360viewer/360view.html?d=0601240-l-127","https://www.igi.org/reports/verify-your-report?r=61430458","CVD"
"1326","Pear Diamond","PEAR","2061.45","2561.45","5.09","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15 - 9.42 * 5.93","63","56","PEA40","IGI","616430455","https://workshop.360view.link/360viewer/360view.html?d=0601248-Q1ZP-1-28","https://www.igi.org/reports/verify-your-report?r=616430455","CVD"
"1327","Pear Diamond","PEAR","1791.41","2291.41","5.17","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","16.36 - 9.37 * 5.72","61","61","PEA40","IGI","625419513","https://workshop.360view.link/360viewer/360view.html?d=0703245-Q53-2A","https://www.igi.org/reports/verify-your-report?r=625419513","CVD"
"1328","Pear Diamond","PEAR","1767.15","2267.15","5.1","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","14.78 - 9.52 * 6.15","64.6","62","PEA17","IGI","627413245","https://workshop.360view.link/360viewer/360view.html?d=2303242-q50-84-6","https://www.igi.org/reports/verify-your-report?r=627413245","CVD"
